date,type,category,amount,description
2026-05-02,expense,Food,52.0,HKU canteen lunch
2026-05-03,expense,Food,110.0,Dinner with friend
2026-05-04,expense,Shopping,680.0,Clothes
2026-05-05,expense,App Store,38.0,Small app purchase
2026-05-06,expense,App Store,58.0,Photo editing app
2026-05-07,expense,Software,780.0,Annual software renewal
2026-05-08,expense,Entertainment,320.0,Movie and dinner
2026-05-09,expense,Food,85.0,Cafe and snack
2026-05-10,expense,Food,96.0,Food delivery
2026-05-11,expense,Coffee,39.0,Study coffee
2026-05-12,expense,App Store,118.0,In-app purchase bundle
2026-05-13,expense,Subscription,48.0,One-month trial converted
2026-05-14,expense,Food,78.0,Lunch near campus
2026-05-15,expense,Transport,23.0,MTR and bus
2026-05-16,expense,Entertainment,680.0,Concert ticket
2026-05-17,expense,Shopping,420.0,Online shopping
2026-05-18,expense,Coffee,45.0,Cafe study session
2026-05-19,expense,App Store,22.0,Small mobile game purchase
2026-05-20,expense,Food,138.0,Dinner with classmates
2026-05-21,expense,Software,320.0,Cloud backup annual plan
2026-05-22,expense,Phone,88.0,Extra mobile data
2026-05-23,expense,Food,72.0,Canteen dinner
2026-05-24,expense,Subscription,128.0,Language learning app
2026-05-25,expense,Entertainment,240.0,Cinema and snacks
2026-05-26,expense,App Store,68.0,Photo filter pack
2026-05-27,expense,Food,96.0,Food delivery
2026-05-28,expense,Shopping,260.0,Accessories
2026-05-29,expense,Coffee,52.0,Coffee with friend
2026-05-30,expense,Food,115.0,Weekend brunch
2026-05-31,expense,Entertainment,388.0,Karaoke with friends
2026-06-02,expense,Food,58.0,Canteen lunch
2026-06-03,expense,App Store,28.0,Small app purchase
2026-06-04,expense,Food,118.0,Dinner with friend
2026-06-05,expense,Shopping,520.0,Summer clothes
2026-06-06,expense,Software,650.0,Annual note-taking app
2026-06-07,expense,Entertainment,480.0,Theme cafe
2026-06-08,expense,Coffee,45.0,Coffee before lecture
2026-06-09,expense,Food,89.0,Food delivery
2026-06-10,expense,Phone,128.0,Extra roaming add-on
2026-06-11,expense,Subscription,88.0,Premium app renewal
2026-06-12,expense,App Store,138.0,Editing template pack
2026-06-13,expense,Food,78.0,Campus dinner
2026-06-14,expense,Entertainment,260.0,Movie night
2026-06-15,expense,Shopping,980.0,Headphones discount purchase
2026-06-16,expense,Food,52.0,Quick lunch
2026-06-17,expense,Software,298.0,Design tool monthly add-on
2026-06-18,expense,Coffee,39.0,Study coffee
2026-06-19,expense,Transport,26.0,MTR and bus
2026-06-20,expense,Food,145.0,Dinner after exam
2026-06-21,expense,Subscription,118.0,Fitness app annual charge
2026-06-22,expense,App Store,48.0,Small mobile tool
2026-06-23,expense,Entertainment,780.0,Concert ticket
2026-06-24,expense,Food,96.0,Food delivery
2026-06-25,expense,Shopping,380.0,Clothes
2026-06-26,expense,Coffee,48.0,Cafe study session
2026-06-27,expense,Food,112.0,Weekend brunch
2026-06-28,expense,Phone,68.0,Data top up
2026-06-29,expense,Entertainment,320.0,Dinner and movie
2026-06-30,expense,App Store,88.0,App subscription upgrade
